chName,style,歌入／無,テンポ,説明文,備考
シンプルな内装向け洋楽 （AI BGM）,シャッフル放送,入,オール,合板やプラスチック、スチールなどの現代的な素材を使ったシンプルな内装に合わせた洋楽をAI選曲でお届けします。あまり多くの装飾品を置かずシンプルで飽きのこない空間におすすめです。内装に合ったBGMを流すことでビジュアルイメージをより高め居心地の良い空間を演出します。店舗演出にぜひご活用ください。,
クールな内装向け洋楽 （AI BGM）,シャッフル放送,入,オール,石材やガラス、スチールなどの素材でモノトーンを基調としたクールな内装に合わせた洋楽をAI選曲でお届けします。都会的な雰囲気でクリエイティブさを感じる空間におすすめです。内装に合ったBGMを流すことでビジュアルイメージをより高め居心地の良い空間を演出します。店舗演出にぜひご活用ください。,
ヴィンテージな内装向け洋楽 （AI BGM）,シャッフル放送,入,オール,価値のある年代物が使われたヴィンテージ風の内装に合わせた洋楽をAI選曲でお届けします。国は問わず古き良き欧米風の装飾品を活かした空間におすすめです。内装に合ったBGMを流すことでビジュアルイメージをより高め居心地の良い空間を演出します。店舗演出にぜひご活用ください。,
爽やかな時間のためのPOPS＆ROCK,シャッフル放送,入,スロー～ミドル,洋楽ロック＆ポップスの中から爽やかで聴き心地のいい女性ヴォーカルばかりをセレクトしたチャンネル。癒し系シンガー・ソングライターの心地よいアコースティック・ナンバーを中心に、爽やかで落ち着いた雰囲気の楽曲を厳選してお届けします。,
活動的な時間のためのPOPS＆ROCK,シャッフル放送,入,ミドル～アップ,活動的な時間を過ごすための洋楽POPS/ROCKナンバーをお届けします。女性ヴォーカルや男性アイドル・グループをはじめとした、聴き心地のよい楽曲を中心にセレクトし、デイタイムはもちろん、明るく軽快な雰囲気を演出したいときにもおすすめのチャンネルです。また常時最新楽曲も追加し、洋楽POPS/ROCKファンの方々にもお楽しみいただける内容でお送りします。,
メランコリックな時間のためのPOPS＆ROCK,シャッフル放送,入,ミドル,美しい夕日を見ながら聴きたくなるような、メランコリックで哀愁漂う洋楽POPS/ROCKナンバーをセレクトしたチャンネル。夕暮れ時はもちろん、穏やかな雰囲気を演出する際などにぴったりの美しい旋律の数々をお楽しみください。,
賑やかな時間のためのPOPS＆ROCK,シャッフル放送,入,アップ,賑やかな時間を過ごすためのロック＆ポップスを厳選してお届け。洋楽ロック＆ポップスの中から快活で賑やかな時間を過ごすのにぴったりな、アップテンポで疾走感溢れるロックを中心にセレクトしています。気分を盛り上げたい時や、活発な雰囲気作りにおすすめです。,
ゆったりとした時間のためのPOPS＆ROCK,シャッフル放送,入,スロー～ミドル,ゆったりとした時間を過ごすための洗練されたバラードで、大人の雰囲気を演出。スウィートな時間をさらに盛り上げてくれるような、落ち着いた雰囲気のしっとりとしたナンバーだけを厳選してお届けします。お洒落なレストランやダイニング・バーなどに最適です。,
Active Mood ～明るい洋楽ROCK,シャッフル放送,入,ミドル～アップ,近年にリリースされた洋楽のロック・ナンバーを中心に、疾走感溢れるビートと開放的なロック・ムードが楽しめる楽曲をピックアップ。お店のセール期間や日々のタイムセールなど、活発なムードを演出する際にぴったりのロックBGMです。また、アクティヴな雰囲気作りはもちろん、ロック本来の魅力がお楽しみいただけるセレクトがコンセプト。ロックBGMをお探しの方にまずおすすめしたいチャンネルです。,
Soft Breeze ～爽やか洋楽ROCK,シャッフル放送,入,スロー～ミドル,数多くのロック曲の中から、爽やかで聞き心地がよい曲だけを厳選した専門チャンネルです。テンポもミドル・テンポの曲をメインにセレクトしていますので統一感もあり、BGM性の高さを追求しています。高感度のお客様が来店する小売店などに特におすすめです。,
Cool Beat ～おしゃれ洋楽ROCK,シャッフル放送,入,オール,近年にリリースされた洋楽のロック・ナンバーを中心に、モダンなビートが楽しめる楽曲をピックアップ。メジャー／インディ・シーン問わず、近年のロック・シーンより店内をクールに彩る楽曲をセレクトしたロックBGMです。カジュアルかつハイセンスな雰囲気作りはもちろん、最新の洋楽シーンやロックでのBGM演出をお考えの方にまずおすすめしたいチャンネルです。,
シネマ・ミュージック （80’s～最新）,シャッフル放送,混在,オール,名作映画のシーンを鮮やかに彩ったシネマ・ミュージック・ヒッツ専門チャンネル！名作や傑作と呼ばれる映画には、必ず優れた音楽があるものです。このチャンネルでは1980年代以降にヒットした人気作品から公開中の最新作まで、新旧さまざまなジャンルのシネマ・ミュージックを紹介しています。映画の主題歌はもちろん、あのシーンで流れていた挿入歌もたっぷりとお楽しみいただけます。,
コンテンポラリー・カントリー,シャッフル放送,入,オール,全米で絶大な人気を誇るコンテンポラリーカントリ－。テイラー・スウィフトやキャリー・アンダーウッドなど新世代を代表するアーティストたちはもちろん、キース・アーバンやブレイク・シェルトンといったヒット・チャートの常連たちもラインナップ。幅広い層が集うお店でのご利用シーンも想定し、カントリーになじみのない方々でも楽しめるポップな内容となっています。,
カントリー （モダンタイム）,シャッフル放送,入,オール,2000年代にヒットしたカントリー・ミュージックを中心に、切ないバラードから熱いカントリー・ロック、そしてクロスオーバーされた軽快なカントリー・ポップスをお届けします。現代を代表する人気カントリー・ミュージシャン達の楽曲をお楽しみください。,
洋楽 クリスマス,シャッフル放送,入,オール,洋楽クリスマス・ソングをオールテンポでお届けします。,
洋楽 クリスマス （バラード）,シャッフル放送,入,スロー～ミドル,洋楽クリスマス・ソングの中からバラード楽曲を集めて。,
洋楽 クリスマス （ミドル～アップ）,シャッフル放送,入,ミドル～アップ,洋楽クリスマス・ソングの中からミドル～アップテンポの楽曲を集めて。,
R＆B／HIP HOP ステーション,シャッフル放送,入,オール,時間帯に合わせたR＆B、HIP HOPで1日の流れを演出するステーション・チャンネル。朝の爽やかな楽曲から、深夜にしっとりくつろげる楽曲まで、1日を5つの時間帯に分け、さまざまなシチュエーションに合わせた選曲でお届けします。ハードな楽曲は控えめに、それぞれの時間帯に合った心地よく聴きやすい楽曲ばかりですので、お部屋でのBGMに、またより細やかな雰囲気作りをしたいお店のBGMとしても最適な番組です。,時間帯別選曲
R＆B／HIP HOP （モーニング）,シャッフル放送,入,スロー～ミドル,癒し系シンガー・ソングライターの心地よいアコースティックR＆Bやオーガニック・ソウルを中心に、朝の雰囲気に合う爽やかな楽曲で心地よい一日の始まりを演出いたします。穏やかな朝食時はもちろん、休日ののんびりカフェ・タイムなどにもおすすめです。,
R＆B／HIP HOP （デイ）,シャッフル放送,入,アップ,お昼の時間帯に合わせた、アクティヴなR＆BやHIP HOPをお楽しみください。洋楽好き誰もが知るようなメジャー・アーティストのアッパーなダンス・チューンや、聴いていて楽しくなるような楽曲を中心にセレクト。ランチタイムなど活気ある雰囲気作りにもおすすめです。,
R＆B／HIP HOP （イヴニング）,シャッフル放送,入,ミドル,胸がキュンとなるスウィートな楽曲や、思わずノスタルジックな気分にさせられる、美しい夕焼けのようなメロウ・チューンをお届けします。喧騒を逃れてほっと一息入れたい時に聴きたくなるミドルテンポの曲を中心に、落ち着いた雰囲気を演出します。,
R＆B／HIP HOP （ナイト）,シャッフル放送,入,スロー～ミドル,ナイトタイムに合うR＆BやHIP HOPを集めて。ゆったりと乗れるミドルテンポのアーバンなR＆B、HIP HOPを中心に、落ち着いた雰囲気のネオ・ソウル、洋楽寄りのJAZZアーティストなど、夜に映える楽曲をお楽しみください。夜はグルーヴに身をゆだねて。,
R＆B／HIP HOP （ミッド・ナイト）,シャッフル放送,入,スロー,深夜から明け方にかけての時間帯に合わせた、スロウ・ジャム中心の選曲をお届けします。愛する誰かと一緒に聴きたい、または眠れない夜、ベッドサイドで気が済むまで聴いていたい･･･。そんなしっとりと甘いR＆BやHIP HOPが、セクシーな大人の雰囲気を演出します。,
R＆B／HIP HOP クリスマス （モーニング）,シャッフル放送,入,スロー～ミドル,朝の時間帯に合わせた選曲のR＆B、HIP HOP X'mas。,
R＆B／HIP HOP クリスマス （デイ）,シャッフル放送,入,アップ,昼の時間帯に合わせた選曲のR＆B、HIP HOP X'mas。,
R＆B／HIP HOP クリスマス （イヴニング）,シャッフル放送,入,ミドル,夕方の時間帯に合わせた選曲のR＆B、HIP HOP X'mas。,
R＆B／HIP HOP クリスマス （ナイト）,シャッフル放送,入,スロー～ミドル,夜の時間帯に合わせた選曲のR＆B、HIP HOP X'mas。,
R＆B／HIP HOP クリスマス （ミッド・ナイト）,シャッフル放送,入,スロー,深夜の時間帯に合わせた選曲のR＆B、HIP HOP X'mas。,
R＆B,シャッフル放送,入,オール,洋楽のR＆Bだけをセレクトした専門チャンネル。全米チャートを賑わすヒット曲、クラブで人気のアップリフティングなダンス・チューンから、歌心溢れるソウルフルな楽曲まで、新しい楽曲を中心に、この10年でリリースされたR＆Bをお届けします。洋楽R＆Bシーンの「今」をキャッチしたい方はもちろん、お店や空間におけるクールでカジュアルな雰囲気作りにも最適なチャンネルです。,
R＆B クリスマス,シャッフル放送,入,ミドル～アップ,デスティニーズ・チャイルドに代表される2000年以降のR＆BのX'mas。,
R＆B （ポップ）,シャッフル放送,入,ミドル～アップ,全米チャートの上位をR＆B、HIP HOPが占めることも多い昨今、ポップスはR&B風に、R&Bはポップスに近づき、境界線も随分曖昧になりました。本チャンネルではそんなアーバンで聴いていて楽しいポップなR＆Bをセレクト。暗くない、悲しくない、悪くない、怖くない、ポップでキャッチーなR＆Bで、24時間ノリのいいBGMをお送りします。,
R＆B （リラックス）,シャッフル放送,入,スロー～ミドル,落ち着いたテンポ感と、チル＆メロウな雰囲気が魅力のR&B専門チャンネル。近年の音楽シーンを賑わす話題のヒット曲や注目曲はもちろん、店内空間を彩る厳選したセレクトにてお届けします。リラクシングな空間を演出し、飲食店、販売店、美容系店舗などにおすすめのR&B BGMです。,
R＆B （ダンス）,シャッフル放送,入,ミドル～アップ,ノリのいいテンポ感と、ダンサブル＆グルーヴィーな雰囲気が魅力のR&B専門チャンネル。近年の音楽シーンを賑わす話題のヒット曲や注目曲はもちろん、店内空間を彩る厳選したセレクトにてお届けします。活気溢れる空間を演出し、飲食店、販売店、美容系店舗などにおすすめのR＆B BGMです。,
R＆B CLASSICS,シャッフル放送,入,オール,世界の音楽シーンを席巻し続けるR&B、その往年の時代にフォーカスした専門チャンネル。ここで言う「CLASSICS」とは「一級品」、「最高の芸術作品」という意味。過去の名曲のリバイバル・ブームが巻き起こり、多くの名曲がカヴァーやサンプリングされ続け、ファンの間で語り継がれる、この時代の定番曲・名曲をお届けします。ポピュラー音楽としての現在のR＆Bシーンの原点をお楽しみください。,
R＆B CLASSICS クリスマス,シャッフル放送,入,オール,TLCに代表される90年代R＆BのX'mas。,
トレンドR＆B,シャッフル放送,入,オール,現代の音楽シーンから、こだわりショップ空間やブランド演出にオススメのR&Bをセレクトした専門チャンネル。多様化する世界の音楽シーンの中でも、常にトレンドを更新し続けるトップジャンルとして人気のR&B。もっともポピュラーでありながら、もっとも現代的なアプローチも魅力とする近年のR&Bシーンより、モダンスタイルやトレンド感演出にピッタリの楽曲を厳選してお届けします。,
HIP HOP,シャッフル放送,入,オール,海外のHIP HOPシーンから空間演出にオススメの楽曲をセレクトした専門チャンネル。ストリートの話題曲から全米No.1ヒット曲まで、店内BGMにおすすめのHIP HOPをぎっしり詰め込みました。近年にリリースされた楽曲を中心に、メジャー／アンダーグラウンド問わず幅広くお届けします。最新ストリート・カルチャーと音楽シーンの流れをいち早くキャッチしたい方にもおすすめです。,放送楽曲の一部に過激な表現が含まれます
HIP HOP CLASSICS,シャッフル放送,入,オール,世界トップの音楽シーンの1つとなったHIP HOP、その往年の時代にフォーカスした専門チャンネル。「CLASSICS」とは「古典」という意味もありますが、「一級品」、「最高の芸術作品」であり、時代を経ても色褪せないものを意味します。オールドスクール、ニュースクール時代の今でも語り継がれる名曲・定番曲から、HIP HOPが市民権を得た2000年代前半までの楽曲を中心にお届けします。,放送楽曲の一部に過激な表現が含まれます
USヒップ・ホップ,シャッフル放送,入,ミドル～アップ,現行のUSメインストリームを中心に、2000年代～2010年代のヒット曲や往年の名曲を織り交ぜ、ビギナーからコアなファンまで納得できる幅広い選曲でお届けします。ストリート・カルチャーに敏感なアパレル系や若者文化に精通する店舗におすすめです。,放送楽曲の一部に過激な表現が含まれます
JAZZ HIP HOP,シャッフル放送,混在,ミドル,1990年代に生まれた、JAZZをサンプリングしたHIP HOP。2000年代に日本で巻き起こったJAZZY HIP HOPのムーヴメント。そしてHIP HOPオリエンテッドな現行JAZZシーンもお届けする、大人のためのHIP HOPチャンネル。そのサウンドは空間をクールにしっとりと演出できる高いBGM性があります。毎月更新の特集コーナーではここでしか聴けないDJ Mixもお送りしています。,放送楽曲の一部に過激な表現が含まれます
JAZZ HIP HOP （Vocal）,シャッフル放送,入,ミドル,90年代に生まれたJAZZをサンプリングしたHIP HOP。そして2000年代に日本で巻き起こったJAZZY HIP HOPムーヴメント。そしてHIP HOPオリエンテッドな現行JAZZシーンもお届けする、大人のためのHIP HOPチャンネル。ハイセンスでジャンルにこだわらない音楽好きからも支持されています。その独特な音色は空間をクールにしっとりと演出し、BGM性が高いのが特徴です。,
JAZZ HIP HOP （Instrumental）,シャッフル放送,無,ミドル,90年代に生まれたJAZZをサンプリングしたHIP HOP。そして2000年代に日本で巻き起こったJAZZY HIP HOPムーヴメント。そしてHIP HOPオリエンテッドな現行JAZZシーンまで、大人の空間のためにセレクトしたインスト・チャンネル。ハイセンスでジャンルにこだわらないオシャレなインストBGMを求めるお店におすすめです。,
Lo-Fi Beats for ワークスペース,シャッフル放送,無,スロー～ミドル,近年インターネットを中心に注目を集めるLo-Fi Beats。レイドバック気味のリズムと、ジャズを中心としたピアノやギターなどのエッセンスを散りばめて、アンニュイな雰囲気を漂わせるゆったりとしたサウンドが特徴。特にオフィスなどワークスペースにおすすめのリラックス感のあるインストゥルメンタル作品で構成しており、おしゃれなカフェやバー、アパレルショップでもご利用いただけるBGMです。,
Lo-Fi Beats for Fashion,シャッフル放送,無,スロー～ミドル,近年インターネットを中心に注目を集めるLo-Fi Beats。レイドバック気味のリズムと、ジャズを中心としたピアノやギターなどのエッセンスを散りばめて、アンニュイな雰囲気を漂わせるゆったりとしたサウンドが特徴。ファッションシーンとリンクしたお洒落な空間や、アパレルショップでもご利用いただけるBGMです。,
Lo-Fi Beats X’mas,シャッフル放送,無,スロー～ミドル,あたたかみのあるアナログサウンドと微かに耳に触れるノイズ、現代的で洗練されたビートが魅力のLo-Fi Beats。親しみのあるクリスマス・スタンダードをはじめ、シャンシャンと鈴の音がきらめくトラックなど、クリスマスを彩るインストゥルメンタルを厳選しました。さりげなく、そしてゆったりと心地よいクリスマス・ムードを演出したい空間におすすめです。,
Chillhop Music for ワークスペース,シャッフル放送,無,スロー～ミドル,動画配信サイトで人気のローファイ・ヒップホップのシーン。その中でも広く認知されているオランダ発の音楽レーベル、Chillhop Musicのチャンネルです。多くのチル（癒し・落ち着くなどの意味）な楽曲の中から、レーベル自身がワークスペース向けのインストゥルメンタル・トラックを厳選。オフィスや商業施設、アパレルなどの販売スペースなど、様々な場所でお使いいただける汎用性の高いBGMです。,
Chillhop Music for ショールーム,シャッフル放送,無,スロー～ミドル,動画配信サイトで人気のローファイ・ヒップホップのシーン。その中でも広く認知されているオランダ発の音楽レーベル、Chillhop Musicのチャンネル。多くのチル（癒し・落ち着くなどの意味）な楽曲の中から、レーベル自身がBGM向けのインストゥルメンタル・トラックを厳選。ショールームやオフィスなど、様々な場所でお使いいただける汎用性の高いBGMです。,
Chill HIP HOP,シャッフル放送,入,スロー～ミドル,近年のシーンを中心に、リラクシングかつスタイリッシュなHIP HOPをセレクト。HIP HOP用語から一般的なワードとなったチルをコンセプトに、店内をクールに彩る楽曲をピックアップ。またCleanバージョンやRadio Editバージョンにて構成しているため店内BGMとしても安心してご利用頂けます。美容室やエステ、バーを始め、ストリート文化を魅力・演出としてイメージする店舗などにもおすすめです。,
Workout HIP HOP,シャッフル放送,入,ミドル～アップ,近年のシーンを中心に、アクティヴでファッショナブルなHIP HOPをセレクト。ワークアウト気分を盛り上げるダンサブルなビートとラップが活動的な空間を演出します。またCleanバージョンやRadio Editバージョンにて構成しているため店内BGMとしても安心してご利用頂けます。各種スポーツ系ブランドやジム、用品店を始め、ストリート文化を魅力・演出としてイメージする店舗などにもおすすめのBGMです。,
ショップ空間向けHIP HOP,シャッフル放送,入,オール,USトレンドを押さえながらもクリーンバージョンのみで構成された、ショップ空間のためのHIP HOPが誕生。歴史的、文化的背景に伴い、曲中に過激な表現が登場する音楽ジャンルですが、この番組ではそんな部分を省いたクリーンカット版でお送りします。HIP HOPの作り出すカジュアルな雰囲気はそのままに、ファミリー層をターゲットとした小売り店や飲食店、また企業のインバウンド対策としてもご利用いただけます。,
Organic Soul,シャッフル放送,入,スロー～ミドル,陽の光、草木の香り、鳥のさえずりがよく似合う自然派R＆B＝Organic Soulの専門チャンネル。素朴で味わい深くヒーリング性の高い、現代のソウルと呼ぶべきサウンドをお楽しみください。生音主体のトラックに乗せた柔らかな歌声は、リラックスしたカフェタイムや、落ち着いた気分で過ごす理美容店、また程よいオーガニックテイストを求めるショップのBGMとしてもおすすめです。,
ソウル,シャッフル放送,入,オール,黒人音楽のエッセンスが凝縮されたソウル・ミュージックの専門チャンネルです。往年のヒット・ナンバーはもちろん、情熱的なバラードから心躍るダンス・ナンバーなど、ファンの心を熱くさせる人気曲、隠れた名曲を幅広くセレクト。サブ・ジャンルはもちろん、モータウンやアトランティック、スタックス、PIRなどの名レーベルを中心に、稀代のシンガーたちが演出するソウルフルな世界を24時間お楽しみいただけます。,
ソウル・クリスマス,シャッフル放送,入,オール,ＪＢ～ダニー・ハザウェイに代表されるソウルフルなX'mas。,
ソウル・クラシックス,シャッフル放送,入,オール,1960年代～80年代にヒットしたソウル・ミュージックを中心に、隠れた名曲、時代を超えて愛され続けるアーティスト達の楽曲の数々をお届けします。ソウル・ミュージックを愛するすべてのリスナー必聴です。”空間いっぱいに広がる胸熱ソウル・サウンド”をお楽しみください。,
ブルース,シャッフル放送,混在,オール,ポピュラー音楽のルーツのひとつであるブルースの専門チャンネル。アコースティックギターの弾き語りによるデルタブルースや、バンドアンサンブルが魅力の王道シカゴブルースなど、さまざまなスタイルで奏でられる古典的名演はもちろん、伝統を受け継ぐ数々のブルースマンを幅広くセレクト。憂いを帯びたヴォーカルや卓越したギタープレイ、ブルースハープの音色が、味わい深い芳醇な空間を演出します。,
NOW＆BEST ブルース,シャッフル放送,混在,オール,アコースティック・ギターの弾き語りを基本としたデルタ・ブルース、バンド形式に発展したシカゴ・ブルース、ロックと融合したブルース・ロック等、多様なスタイルを網羅。古典的名演から最新の若手ブルースマンまで、マニアにはもちろん、古着ファッションやアーリー・アメリカンが基調の店舗におすすめです。,
ファンク,シャッフル放送,混在,オール,1970～80年代に興隆を極めたファンクの専門チャンネル。肉体的ダンス・ミュージックの最高峰とも言える、うねりまくる極太のグルーヴやリズムは、後に華開くR＆B／HIP HOPシーンのベースとなっています。黄金期から最新のシーンまで、店内BGMとしてオススメできるヴィンテージで熱狂のファンキー・サウンドをお楽しみください。,放送楽曲の一部に過激な表現が含まれます
レゲエ,シャッフル放送,混在,オール,長年多くのリスナーから愛され続けているUSENの定番レゲエチャンネル。ロックステディからレゲエ黄金時代の名曲を中心に、ソフトでゆるやかなラヴァーズロック、ダンスホールDJも交えながら、数々の名盤をお届けします。今なおカリスマとして世界中の人々に愛され続けるアーティストたちはもちろん、USENならではのレア音源もお楽しみください。,
レゲエ・クリスマス,シャッフル放送,入,オール,レゲエ・クラシックスで聴くジャマイカンX'mas。,
レゲエ （チルタイム）,シャッフル放送,混在,ミドル,ロックステディ、ルーツロック・レゲエの名曲、世代を超えて愛され続ける偉大なアーティスト達の名曲、さらに近年、注目のアーティスト達によるラヴァーズ・レゲエ等を中心にお届けします。落ち着いた空間を演出し、飲食店、販売店、美容系店舗等におすすめです。,
スウィート・レゲエ,シャッフル放送,入,スロー～ミドル,ラヴァーズ・ロックに代表される、スウィートで爽やかなムードに包み込んでくれるレゲエ・ナンバーをピックアップ。心地よいリズムと軽やかな歌声はレゲエに縁がない方にも親しみやすく、聴き慣れた数多くのカヴァー楽曲も人気のひとつ。ゆったりと身体を包み込んでくれるサウンドが、爽やかでリラックスした空間を演出します。,
ダンスホール・レゲエ,シャッフル放送,入,ミドル～アップ,レゲエを中心に、ダンスホールを賑わすアクティヴな楽曲をピックアップした専門チャンネル。ダンスホール・レゲエはもちろん、近年のポップ・シーンで一大勢力となったレゲトン、トリニダード・トバゴから世界に飛び出しクラブ・カルチャーの定番となったソカなども織り交ぜてセレクト。カリブの青々とした熱気と、フロアを盛り立てるダンサブルな魅力をお楽しみ頂けます。,放送楽曲の一部に過激な表現が含まれます
ダンスホール （ホットタイム）,シャッフル放送,混在,ミドル～アップ,ダンスホール誕生期のスーパー・スター達の名曲、偉大なシング・ジェイ達の名曲、さらに近年、注目のアーティスト達による激アツなナンバーをお届けします。活気溢れる空間を演出し、飲食店、販売店、美容系店舗等におすすめです。,放送楽曲の一部に過激な表現が含まれます
エスニック・アフロビート,シャッフル放送,混在,オール,1960年代後半、伝統的なアフリカ音楽とファンクやジャズなどのシーンが結びついて生まれたアフロビート。別名アフロ・ファンクとも呼ばれる独特のグルーヴが魅力で、時代とともに多様な進化を遂げた結果、現代ではアフリカのみならず世界のアーティストにも広く浸透しています。エキゾチック、エスニックといった空間の演出にはもちろん、最新の“アフリカの鼓動”をお楽しみいただけるチャンネルです。,
HIP HOP＋R＆B （Manhattan Records）,シャッフル放送,入,オール,HIP HOP、R＆Bを中心に取り扱う老舗レコードショップ『Manhattan Records』とのタイアップチャンネル。Manhattan Recordsがオススメする人気DJがリスナーのために制作した、ここでしか聴けないオリジナルMixをお届けします。国内外で絶大な信頼を得ているレコードショップ監修のもと、HIP HOP、R＆Bシーンの動向をいち早くお伝えします。,放送楽曲の一部に過激な表現が含まれます
HOUSE MUSIC （125bpm）,シャッフル放送,混在,ミドル～アップ,一定のビート（＝125bpm前後）のハウス～ラウンジ・ミュージックを集めた専門チャンネル。ハウスの中でも一番おいしいとされるテンポ（＝125bpm）とリズム（4つ打ち）の曲から、DJパーティのダンスフロアを沸かせる最新のキラー・チューンを中心とした旬のハウス・ミュージックをお送りしています。ファッション関連のスポットや、おしゃれにアクティヴな雰囲気を演出する際のBGMとしてもご利用ください。,
HOUSE MUSIC X’mas （125bpm）,シャッフル放送,混在,ミドル,さりげなくエッセンスの効いた爽快HOUSEカヴァーX'mas。,
100％ HOUSE クリスマス,シャッフル放送,混在,ミドル～アップ,軽快なハウスミュージック100％でお届けするクリスマス・チャンネル。,
HOUSE MUSIC （Instrumental）,シャッフル放送,無,ミドル～アップ,お洒落な雰囲気を演出する軽快なテンポのハウス・ミュージックの中からインストゥルメンタル作品だけをセレクト。2000年以降も盛り上がりを見せるシカゴ・ハウス、NYハウスや、キャッチーなメロディの美メロ・ハウスなどの世界的な名DJの作品はもちろん、DJ KAWASAKI、DAISHI DANCEなどの日本勢まで、今なお進化し続ける楽曲を網羅しお送りします。,
HOUSE CLASSICS,シャッフル放送,混在,ミドル～アップ,現在のクラブ・シーンでメインストリームとなっている人気ジャンルがハウス。これまで多くのヒット曲がクラバーの心と体を躍らせてきました。リアルタイムで聴いていた方はもちろん、若いハウスミュージック・ファンの方も、改めてその名曲たちに触れることで新たな発見があるかも！？また、ハウス特有の楽しくアクティブなビートは「店内の活気」の演出にもご活用いただけます。,放送楽曲の一部に過激な表現が含まれます
DEEP HOUSE for Fashion,シャッフル放送,混在,ミドル～アップ,ハウスの1ジャンルとしてその美しいグルーヴと心地よいサウンドで根強い人気を誇るDEEP HOUSE専門チャンネル。Mr.Fingers｢Can You Feel It｣のようなクラシックから最新音源まで、BGMとして楽しめるトラックを厳選してお送りします。ファッション・スポットや理美容などに最適な極上のアーバン・サウンドをお届けします。,
ラウンジ／ハウス,シャッフル放送,混在,ミドル～アップ,ラウンジ・ミュージックやハウス、テクノを中心に大人の雰囲気を漂わせるクールな4つ打ちからキャッチーでポップなクラブ・サウンドまで、スタイリッシュな空間を演出する楽曲をセレクト。カジュアルなアパレル系の店舗やファッション雑貨、カフェなど様々な店舗へおすすめです。,
Cool＆Tropical House,シャッフル放送,混在,ミドル～アップ,リゾート感と癒し感を兼ね備えた心地よいダンス・ミュージックとして流行したトロピカル・ハウス。今では夏の定番ミュージックの一つになっています。このチャンネルでは聴きやすさや心地よさを重視してセレクト。夏の心地よい空間演出に、是非ご利用ください。,
HOUSE NATION,シャッフル放送,入,ミドル～アップ,女性を中心にファッションやライフスタイルとともに気軽に楽しむハウス・ミュージックを提唱する「HOUSE NATION」。2007年に登場以来、国内のみならずソウルや北京など海外でも開催されていた人気パーティです。このタイアップチャンネルでは、これまでリリースされたCDからお届けします。店内をポップに明るく演出するのに最適です。,放送楽曲の一部に過激な表現が含まれます
テクノ for Fashion,シャッフル放送,混在,ミドル～アップ,テクノミュージックによる、ファッション空間の演出をコンセプトとしたチャンネル。スタイリッシュな演出に映える現代的なエレクトロニック・サウンドやビート、そして程よく躍動感も感じるテクノミュージックをセレクト。アパレルショップや美容室などファッションを楽しむ空間をBGMからもサポートします。モードファッションをはじめとした現代的なスタイルの演出にもご活用ください。,
TRANCE ～CLUB MIX～,シャッフル放送,混在,アップ,ダンスミュージック・シーンにおいて、今なお根強い人気を誇るトランス。このチャンネルでは、空間を盛り上げる躍動的なリズムとサウンドが魅力のトランスミュージックをノンストップ・ミックスで放送。ナイトクラブやパチンコ店をはじめとする店内BGMとしても最適なチャンネルをぜひご利用ください。,
TRANCE （Instrumental）,シャッフル放送,無,アップ,ダンスミュージック・シーンにおいて、今なお根強い人気を誇るトランス。このチャンネルでは、空間を盛り上げる躍動的なリズムとサウンドが魅力の作品から、インストゥルメンタル・トラックだけをノンストップ・ミックスで放送。ナイトクラブやパチンコ店をはじめとする店内BGMとしても最適なチャンネルをぜひご利用ください。,
PSYCHEDELIC TRANCE,シャッフル放送,混在,アップ,ゴアトランスから派生したよりサイケ色が強まった145bpm前後のビートのトランス＝サイケデリック・トランス。モジュレーションを用いた幻覚的なサウンドが特徴的です。トランス・シーンの中でも独自の世界観を持つサイケデリック・トランスを楽しめるのがこのチャンネル。若者が集まるイベントスペースや店内BGMとしても最適です。,放送楽曲の一部に過激な表現が含まれます
ダンス／クラブ,シャッフル放送,入,ミドル～アップ,洋楽ポップスやEDM、ハウス/テクノ等、打ち込みが強いポップなダンスチューンをお届けします。クラブ系の音楽に統一したい店舗や若者が集うショップ等、店内を躍動感溢れる空間に演出します。,
Nu Disco for Fashion,シャッフル放送,混在,ミドル～アップ,現代のディスコファンク、ソウル、ポップスで気持ちを明るく元気に！ Nu Discoとは1970年代のディスコチューンや1980年代のイタロディスコを、現代のアプローチでアップデートしたキャッチーでお洒落な進化系ダンスミュージックです。ファッション関連のショップや空間、またアクティヴなシーンのBGMとしてご利用ください。,
スーパー・ユーロビート,シャッフル放送,入,アップ,大人気コンピ『スーパー・ユーロビート』シリーズからの楽曲のみを使用したユーロビート専門チャンネル。Vol.200を超えた『スーパー・ユーロビート』シリーズを完全網羅し、ユーロビート全盛期の名曲から最新リリース曲をノンストップでお届けします。ユーロビートが好きな方にはもちろん、人が集まるイベントスペースやお店のBGMとしても最適なチャンネルです。,放送楽曲の一部に過激な表現が含まれます
CLUB JAZZ for Fashion,シャッフル放送,混在,オール,1990年代初めにUKから世界に向けて拡がったアシッドジャズ・ムーヴメントの潮流。今もヨーロッパやアメリカ、ここ日本でもクラブ・シーンの一角を占めているジャズがCLUB JAZZです。オーセンティックなものからハウス、HIP HOP、エレクトロニカなどクラブ・ミュージックの要素を色濃く取り入れたトラックまで多種多様なCLUB JAZZをお届けします。ファッションを楽しむ場所にもご利用ください。,
